nh	female	married	sepdiv	single	ownhh	white	black	hispan	mobility	age	yrsnh	ses	violence	control
14	1	1	0	0	1	0	0	1	0	27	5	1.1106	100.79	379.92
15	0	0	0	1	0	0	1	0	0	34	5	-1.4069	100.79	499.93
15	1	1	0	0	0	0	0	0	0	27	5	0.2746	87.36	479.93
15	1	0	1	0	0	0	1	0	1	59	2.5	0.7275	140.79	499.93
15	0	1	0	0	0	1	0	0	0	62	15	0.1821	100.79	359.93
15	0	1	0	0	1	0	0	1	0	43	18.4167	2.1033	140.79	419.93
15	0	1	0	0	1	0	0	0	3	36	0.5	-0.3391	240.79	399.93
15	1	0	0	1	1	1	0	0	1	33	0.5	2.1046	292.26	439.93
15	1	0	1	0	0	0	0	1	2	42	0.25	-0.6504	120.79	359.93
15	0	0	0	1	0	0	0	0	1	43	1	-0.2998	120.79	159.93
15	0	1	0	0	0	1	0	0	2	25	0.75	-0.4913	140.79	179.93
15	0	1	0	0	1	0	0	0	1	74	4.1667	0.6766	192.26	299.93
16	0	0	1	0	0	0	1	0	3	45	0.6667	1.3238	300.79	219.93
16	1	0	0	0	0	1	0	0	0	77	13.5	-0.057	93.17	379.93
